"Ano Enade",co_grupo,co_ies,codmunic_inep,Área,"Nome da IES","Sigla IES","Município (funcionamento do curso)","código UF",UF,cd_dep,Rede,cd_catad,"Dep. Administrativa",cd_orgac,co_regiao_habil,"n. alunos presentes Enade","Participantes Ingressantes","Participantes Concluintes","Média FG_Ing","Média FG_Conc","Média CE_Ing","Média CE_Conc","Média Geral Ing","Média Geral Conc",Conceito_Enade,Conceito_IDD,"Conceito Preliminar Curso","% avaliam bem o plano de ensino (resp. A)","% equipamentos disponíveis são suficientes (resp. A/B)","Número de Docentes","Docentes Doutores","Docentes Regime Parcial/Integral","% Docentes Doutores","% Docentes Regime Parcial/Integral",Nota_infra,Nota_pedag,Nota_regime,Nota_doutor,Termo_insumos,"Nota Enade","Nota IDD","CPC Contínuo"
2007,5,24,290703113606,"MEDICINA VETERINÁRIA","Universidade Estadual de Santa Cruz",UESC,ILHEUS,29,BA,1,Pública,2,Estadual,1,2,35,11,24,"50,90909194946289","54,47916793823242","30,254545211791992","52,204166412353516","35,418182373046875","52,772918701171875",3,4,3,"0,3684210479259491","0,4736842215061188",50,20,50,"0,4000000059604645",1,"2,3684210777282715","1,8421051502227783",5,2,"2,707629680633545","2,6150453090667725","3,3343820571899414","2,858621835708618"
2007,5,27,311005069307,"MEDICINA VETERINÁRIA","Universidade Vale do Rio Verde",UNINCOR,"TRES CORACOES",31,MG,2,Privada,5,Privada,1,2,20,12,8,"44,45833206176758","54,1875","20,308332443237305","56,224998474121094","26,34583282470703","55,71562194824219",3,SC,3,"0,8333333134651184",1,10,3,6,"0,30000001192092896","0,6000000238418579",5,"4,166666507720947","3,000000238418579","1,5000001192092896","2,9361572265625","2,5735721588134766",,"2,6823477745056152"
2007,5,29,230301604400,"MEDICINA VETERINÁRIA","Universidade Estadual do Ceará",UECE,FORTALEZA,23,CE,1,Pública,2,Estadual,1,2,63,35,28,"60,52857208251953","60,57143020629883","35,84857177734375","54,31428527832031","42,01856994628906","55,878570556640625",4,3,3,"0,0416666679084301","0,125",54,40,54,"0,7407407164573669",1,"0,625","0,20833323895931244",5,"3,7037036418914795","2,7506444454193115","3,174757480621338","2,741414785385132","2,9175209999084473"
2007,5,30,311004901607,"MEDICINA VETERINÁRIA","Universidade José do Rosário Vellano",UNIFENAS,ALFENAS,31,MG,2,Privada,5,Privada,1,2,72,55,17,"40,94545364379883","54,47058868408203","25,985454559326172","54,1529426574707","29,725454330444336","54,23235321044922",3,4,3,"0,6000000238418579","0,800000011920929",30,8,18,"0,2666666805744171","0,6000000238418579",4,3,"3,000000238418579","1,3333333730697632","2,4531757831573486","2,3803086280822754","3,3288042545318604","2,6867175102233887"
2007,5,43,420301009300,"MEDICINA VETERINÁRIA","Fundação Universidade do Estado de Santa Catarina",UDESC,LAGES,42,SC,1,Pública,2,Estadual,1,2,109,58,51,"59,17241287231445","66,48039245605469","32,97068786621094","56,41764831542969","39,5211181640625","58,93333435058594",4,4,4,"0,22499999403953552","0,20000000298023224",52,32,52,"0,6153846383094788",1,"0,9999999403953552","1,125",5,"3,076923131942749","2,792982339859009","3,350978374481201","2,9556195735931396","3,064971923828125"
2007,5,56,350201324303,"MEDICINA VETERINÁRIA","Universidade Estadual Paulista Júlio de Mesquita Filho",UNESP,JABOTICABAL,35,SP,1,Pública,2,Estadual,1,2,45,29,16,"70,03448486328125","80,65625","33,64482879638672","64,5875015258789","42,74224090576172","68,60469055175781",5,4,5,"0,38461539149284363","0,7142857313156128",94,92,94,"0,978723406791687",1,"3,5714287757873535","1,923076868057251",5,"4,893617153167725","3,9796485900878906","4,514998912811279","3,3791844844818115","4,013649940490723"
2007,5,56,350301702804,"MEDICINA VETERINÁRIA","Universidade Estadual Paulista Júlio de Mesquita Filho",UNESP,ARACATUBA,35,SP,1,Pública,2,Estadual,1,2,50,32,18,64,72,"34,881248474121094","63,844444274902344","42,16093444824219","65,88333129882813",5,5,SC,,,51,49,51,"0,9607843160629272",1,,,5,"4,803921699523926",,"4,275358200073242","4,282774925231934",
2007,5,56,350402307506,"MEDICINA VETERINÁRIA","Universidade Estadual Paulista Júlio de Mesquita Filho",UNESP,BOTUCATU,35,SP,1,Pública,2,Estadual,1,2,56,37,19,"57,864864349365234","47,81578826904297","33,2135124206543","46,88420867919922","39,37635040283203","47,117103576660156",3,4,4,"0,1666666716337204","0,4166666567325592",120,112,119,"0,9333333373069763","0,9916666746139526","2,0833332538604736","0,8333333134651184","4,958333492279053","4,6666669845581055","3,434168577194214","2,180516242980957","3,833966016769409","3,052647113800049"
2007,5,57,410100228104,"MEDICINA VETERINÁRIA","Universidade Estadual de Maringá",UEM,UMUARAMA,41,PR,1,Pública,2,Estadual,1,2,47,22,25,"62,477272033691406","55,439998626708984","33,068180084228516","53,720001220703125","40,42045211791992","54,150001525878906",4,4,3,"0,2222222238779068","0,2222222238779068",17,11,10,"0,6470588445663452","0,5882353186607361","1,1111111640930176","1,111111044883728","2,941176652908325","3,2352943420410156","2,3731894493103027","2,997196674346924","3,09397029876709","2,839026689529419"
2007,5,76,420401202404,"MEDICINA VETERINÁRIA","Universidade Regional de Blumenau",FURB,BLUMENAU,42,SC,1,Pública,3,Municipal,1,2,33,33,0,"37,60606002807617",,"26,700000762939453",,"29,426515579223633",,SC,SC,SC,,,38,9,17,"0,2368421107530594","0,44736841320991516",,,"2,236842155456543","1,1842105388641357",,,,
2007,5,82,420100319507,"MEDICINA VETERINÁRIA","Universidade do Oeste de Santa Catarina",UNOESC,XANXERE,42,SC,2,Privada,5,Privada,1,2,77,49,28,"42,806121826171875","49,96428680419922","26,248979568481445","46,02857208251953","30,38826560974121","47,01250076293945",2,SC,3,"0,8947368264198303","0,8947368264198303",8,1,6,"0,125","0,75","4,473684310913086","4,473683834075928","3,75","0,625","2,802767515182495","1,6782146692276",,"2,015580654144287"
2007,5,89,410401502406,"MEDICINA VETERINÁRIA","Fundação Faculdades Luiz Meneghel",FFALM,BANDEIRANTES,41,PR,1,Pública,2,Estadual,4,2,80,48,32,"60,47916793823242","56,21875","35,21458435058594","54,828125","41,530731201171875","55,17578125",4,3,3,"0,36000001430511475","0,4000000059604645",33,6,33,"0,1818181872367859",1,2,"1,7999999523162842",5,"0,9090909361839294","2,233647108078003","3,146158456802368","2,6884799003601074","2,7351014614105225"
2007,5,138,350201443402,"MEDICINA VETERINÁRIA","Centro Universitário Barão de Mauá",CBM,"RIBEIRAO PRETO",35,SP,2,Privada,5,Privada,2,2,48,21,27,"46,5476188659668","49,87036895751953","29,076190948486328","46,31111145019531","33,44404602050781","47,200927734375",2,2,3,"0,47826087474823","0,7083333134651184",31,18,21,"0,5806451439857483","0,6774193644523621","3,5416665077209473","2,3913042545318604","3,387096881866455","2,9032256603240967","2,944946050643921","1,8666341304779053","1,9182467460632324","2,20561146736145"
2007,5,140,330601406206,"MEDICINA VETERINÁRIA","Universidade Severino Sombra",USS,VASSOURAS,33,RJ,2,Privada,5,Privada,1,2,13,13,0,"46,346153259277344",,"31,100000381469727",,"34,911537170410156",,SC,SC,SC,,,29,5,18,"0,17241379618644714","0,6206896305084229",,,"3,1034481525421143","0,8620689511299133",,,,
2007,5,143,310502270107,"MEDICINA VETERINÁRIA","Universidade de Uberaba",UNIUBE,UBERABA,31,MG,2,Privada,5,Privada,1,2,118,67,51,"49,68656539916992","43,79411697387695","27,74626922607422","45,02941131591797","33,23134231567383","44,72058868408203",2,2,3,"0,40625","0,8787878751754761",32,14,19,"0,4375","0,59375","4,39393949508667","2,03125","2,96875","2,1875","2,556555986404419","1,6661261320114136","1,829113245010376","1,9821512699127197"
2007,5,146,350100449805,"MEDICINA VETERINÁRIA","Centro Universitário de Rio Preto",UNIRP,"SAO JOSE DO RIO PRETO",35,SP,2,Privada,5,Privada,2,2,118,70,48,"44,5","46,4375","33,48285675048828","51,34791564941406","36,237144470214844","50,12031173706055",3,3,3,"0,39534884691238403","0,5813953280448914",37,17,20,"0,45945945382118225","0,5405405163764954","2,9069766998291016","1,9767441749572754","2,702702522277832","2,297297239303589","2,369227647781372","2,3954050540924072","2,87430477142334","2,531221866607666"
2007,5,163,330601804557,"MEDICINA VETERINÁRIA","Universidade Estácio de Sá",UNESA,"RIO DE JANEIRO",33,RJ,2,Privada,5,Privada,1,2,100,70,30,"48,21428680419922","48,88333511352539","27,07428550720215","50,38333511352539","32,35928726196289","50,00833511352539",3,3,3,"0,2631579041481018","0,6842105388641357",33,5,4,"0,1515151560306549","0,12121212482452393","3,4210526943206787","1,3157894611358643","0,6060606241226196","0,7575757503509521","1,1451756954193115","2,204334020614624","2,5972323417663574","2,004456043243408"
2007,5,167,351506148708,"MEDICINA VETERINÁRIA","Universidade Metodista de São Paulo",UMESP,"SAO BERNARDO DO CAMPO",35,SP,2,Privada,5,Privada,1,2,91,51,40,"52,068626403808594","56,3125","26,286273956298828","51,529998779296875","32,73186111450195","52,725624084472656",3,4,3,"0,65625","0,6000000238418579",28,11,27,"0,3928571343421936","0,9642857313156128","3,000000238418579","3,28125","4,8214287757873535","1,9642856121063232","3,1054155826568604","2,452686309814453","3,3710269927978516","2,9240074157714844"
2007,5,176,330601804557,"MEDICINA VETERINÁRIA","Universidade Castelo Branco",UCB,"RIO DE JANEIRO",33,RJ,2,Privada,5,Privada,1,2,113,73,40,"39,48630142211914","47,8125","26,610958099365234","48,00749969482422","29,82979393005371","47,95874786376953",2,3,3,"0,6818181872367859","0,52173912525177",32,5,25,"0,15625","0,78125","2,6086957454681396","3,409090757369995","3,90625","0,78125","2,4217987060546875","1,7874175310134888","2,783957004547119","2,276693820953369"
2007,5,207,350201443402,"MEDICINA VETERINÁRIA","Centro Universitário Moura Lacerda",CUML,"RIBEIRAO PRETO",35,SP,2,Privada,5,Privada,2,2,37,17,20,"40,411766052246094","46,95000076293945","20,311765670776367","48,02000045776367","25,33676528930664","47,75250244140625",2,5,3,"0,6842105388641357","0,8947368264198303",24,17,6,"0,7083333134651184","0,25","4,473684310913086","3,4210526943206787","1,25","3,5416665077209473","3,0599844455718994","1,6586366891860962","3,986889362335205","2,7775168418884277"
2007,5,215,351506147809,"MEDICINA VETERINÁRIA","Universidade do Grande Abc",UniABC,"SANTO ANDRE",35,SP,2,Privada,5,Privada,1,2,41,30,11,"42,41666793823242","45,54545593261719","32,72999954223633","49,436363220214844","35,15166473388672","48,46363830566406",3,SC,3,"0,699999988079071",1,9,2,1,"0,2222222238779068","0,1111111119389534",5,"3,499999761581421","0,5555556416511536","1,111111044883728","2,023569345474243","2,1321961879730225",,"2,0996081829071045"
2007,5,221,351506150308,"MEDICINA VETERINÁRIA","Universidade Cruzeiro do Sul",UNICSUL,"SAO PAULO",35,SP,2,Privada,5,Privada,1,2,18,18,0,"52,44444274902344",,"26,86111068725586",,"33,25694274902344",,SC,SC,SC,,,19,8,4,"0,42105263471603394","0,21052631735801697",,,"1,0526316165924072","2,1052632331848145",,,,
2007,5,265,351004034708,"MEDICINA VETERINÁRIA","Faculdades Integradas de Ourinhos",FIO,OURINHOS,35,SP,2,Privada,5,Privada,3,2,14,14,0,"39,75",,"26,678571701049805",,"29,946428298950195",,SC,SC,SC,,,15,4,0,"0,2666666805744171",0,,,0,"1,3333333730697632",,,,
2007,5,271,350803641406,"MEDICINA VETERINÁRIA","Universidade do Oeste Paulista",UNOESTE,"PRESIDENTE PRUDENTE",35,SP,2,Privada,5,Privada,1,2,63,40,23,"39,712501525878906","50,15217208862305","26,78499984741211","50,0217399597168","30,016876220703125","50,05434799194336",3,4,3,"0,4000000059604645","0,9047619104385376",43,16,42,"0,3720930218696594","0,9767441749572754","4,523809432983398",2,"4,883720874786377","1,8604650497436523","2,8889238834381104","2,0384840965270996","3,1823558807373047","2,636777639389038"
2007,5,296,430602900406,"MEDICINA VETERINÁRIA","Universidade da Região da Campanha",URCAMP,ALEGRETE,43,RS,2,Privada,5,Privada,1,2,44,31,13,"43,32258224487305","42,46154022216797","26,458065032958984","39,94615173339844","30,6741943359375","40,57499694824219",2,SC,2,"0,5555555820465088","0,7272727489471436",17,2,15,"0,11764705926179886","0,8823529481887817","3,6363637447357178","2,777777910232544","4,411764621734619","0,5882353186607361","2,400995969772339","1,0305027961730957",,"1,4416508674621582"
2007,5,296,430603101602,"MEDICINA VETERINÁRIA","Universidade da Região da Campanha",URCAMP,BAGE,43,RS,2,Privada,5,Privada,1,2,78,52,26,"36,28845977783203","49,403846740722656","23,78076934814453","45,900001525878906","26,907691955566406","46,775962829589844",2,3,2,"0,21052631735801697","0,380952388048172",33,4,20,"0,12121212482452393","0,6060606241226196","1,9047619104385376","1,0526314973831177","3,0303032398223877","0,6060605645179749","1,4356932640075684","1,4431469440460205","2,069201946258545","1,6287274360656738"
2007,5,298,410301001507,"MEDICINA VETERINÁRIA","Universidade Norte do Paraná",UNOPAR,ARAPONGAS,41,PR,2,Privada,5,Privada,1,2,34,34,0,"37,60293960571289",,"22,011764526367188",,"25,909557342529297",,SC,SC,SC,,,24,11,22,"0,4583333432674408","0,9166666865348816",,,"4,583333492279053","2,2916667461395264",,,,
2007,5,308,310501870206,"MEDICINA VETERINÁRIA","Universidade Presidente Antônio Carlos",UNIPAC,UBERLANDIA,31,MG,2,Privada,5,Privada,1,2,30,30,0,"38,5",,"22,633333206176758",,"26,600000381469727",,SC,SC,SC,,,11,0,3,0,"0,27272728085517883",,,"1,3636363744735718",0,,,,
2007,5,308,310602607406,"MEDICINA VETERINÁRIA","Universidade Presidente Antônio Carlos",UNIPAC,"BOM DESPACHO",31,MG,2,Privada,5,Privada,1,2,15,15,0,"45,56666564941406",,"30,18666648864746",,"34,03166580200195",,SC,SC,SC,,,10,2,5,"0,20000000298023224","0,5",,,"2,5",1,,,,
2007,5,308,310703418304,"MEDICINA VETERINÁRIA","Universidade Presidente Antônio Carlos",UNIPAC,"CONSELHEIRO LAFAIETE",31,MG,2,Privada,5,Privada,1,2,36,36,0,"40,72222137451172",,"27,794445037841797",,"31,026390075683594",,SC,SC,SC,,,16,5,6,"0,3125","0,375",,,"1,8749998807907104","1,5625",,,,
2007,5,308,311206536702,"MEDICINA VETERINÁRIA","Universidade Presidente Antônio Carlos",UNIPAC,"JUIZ DE FORA",31,MG,2,Privada,5,Privada,1,2,42,28,14,"45,30356979370117","56,42856979370117","24,992856979370117","47,4571418762207","30,07053565979004","49,69999694824219",2,3,3,"0,3636363744735718","0,75",27,5,18,"0,18518517911434174","0,6666666865348816","3,75","1,8181817531585693","3,3333334922790527","0,9259259104728699","2,0282511711120605","1,846220850944519","2,90026593208313","2,21704363822937"
2007,5,319,350100215509,"MEDICINA VETERINÁRIA","Universidade Camilo Castelo Branco",UNICASTELO,FERNANDOPOLIS,35,SP,2,Privada,5,Privada,1,2,56,31,25,"45,58064651489258","45,52000045776367","26,645160675048828","49,08399963378906","31,379032135009766","48,19300079345703",3,3,3,"0,4117647111415863","0,47058823704719543",27,14,16,"0,5185185074806213","0,5925925970077515","2,3529412746429443","2,058823585510254","2,962963104248047","2,592592477798462","2,511594533920288","1,9884412288665771","2,6972174644470215","2,358020305633545"
2007,5,319,350502513702,"MEDICINA VETERINÁRIA","Universidade Camilo Castelo Branco",UNICASTELO,DESCALVADO,35,SP,2,Privada,5,Privada,1,2,55,35,20,"41,02857208251953","44,25","18,885713577270508","45,64500045776367","24,421428680419922","45,29624938964844",2,3,3,"0,5263158082962036","0,7894737124443054",20,13,10,"0,6499999761581421","0,5","3,947368621826172","2,6315789222717285","2,5","3,249999761581421","2,9758126735687256","1,3346238136291504","2,5470032691955566","2,1906943321228027"
2007,5,322,350402006003,"MEDICINA VETERINÁRIA","Universidade Paulista",UNIP,BAURU,35,SP,2,Privada,5,Privada,1,2,15,15,0,"41,53333282470703",,"24,8799991607666",,"29,043333053588867",,SC,SC,SC,,,17,4,14,"0,23529411852359772","0,8235294222831726",,,"4,117647171020508","1,1764706373214722",,,,
2007,5,322,350703209502,"MEDICINA VETERINÁRIA","Universidade Paulista",UNIP,CAMPINAS,35,SP,2,Privada,5,Privada,1,2,43,26,17,"44,36538314819336","55,94117736816406","22,649999618530273","47,04705810546875","28,078845977783203","49,27058792114258",2,3,3,"0,5","0,9411764740943909",27,6,24,"0,2222222238779068","0,8888888955116272","4,705882549285889","2,5","4,44444465637207","1,111111044883728","2,646660804748535","1,766290307044983","2,0623278617858887","2,1192128658294678"
2007,5,322,351305049904,"MEDICINA VETERINÁRIA","Universidade Paulista",UNIP,"SAO JOSE DOS CAMPOS",35,SP,2,Privada,5,Privada,1,2,30,30,0,"42,86666488647461",,"27,28333282470703",,"31,17916488647461",,SC,SC,SC,,,25,4,23,"0,1599999964237213","0,9200000166893005",,,"4,599999904632568","0,800000011920929",,,,
2007,5,322,351506150308,"MEDICINA VETERINÁRIA","Universidade Paulista",UNIP,"SAO PAULO",35,SP,2,Privada,5,Privada,1,2,77,40,37,"50,587501525878906","56,22972869873047","25,8700008392334","50,50540542602539","32,04937744140625","51,936485290527344",3,3,3,"0,2647058963775635","0,37837839126586914",63,24,55,"0,380952388048172","0,8730158805847168","1,8918919563293457","1,3235294818878174","4,365079402923584","1,9047619104385376","2,3306007385253906","2,3304545879364014","2,02641224861145","2,239285707473755"
2007,5,330,330100102205,"MEDICINA VETERINÁRIA","Universidade Iguaçu",UNIG,ITAPERUNA,33,RJ,2,Privada,5,Privada,1,2,40,40,0,"39,275001525878906",,"26,25",,"29,506250381469727",,SC,SC,SC,,,17,1,6,"0,05882352963089943","0,3529411852359772",,,"1,7647058963775635","0,2941175699234009",,,,
2007,5,338,310703006705,"MEDICINA VETERINÁRIA","Pontifícia Universidade Católica de Minas Gerais","PUC Minas",BETIM,31,MG,2,Privada,5,Privada,1,2,91,60,31,"53,233333587646484","61,64516067504883","33,00166702270508","62,4612922668457","38,05958557128906","62,257259368896484",4,4,4,"0,4761904776096344","0,9230769276618958",40,16,24,"0,4000000059604645","0,6000000238418579","4,615384578704834","2,3809523582458496","3,000000238418579",2,"2,6082537174224854","3,7268519401550293","3,6126456260681152","3,35701060295105"
2007,5,338,311005151800,"MEDICINA VETERINÁRIA","Pontifícia Universidade Católica de Minas Gerais","PUC Minas","POCOS DE CALDAS",31,MG,2,Privada,5,Privada,1,2,84,48,36,"62,51041793823242","64,15277862548828","33,412498474121094","55,141666412353516","40,68697738647461","57,39444351196289",4,4,4,"0,4444444477558136","0,8275862336158752",30,13,25,"0,4333333373069763","0,8333333134651184","4,1379313468933105","2,222222089767456","4,166666507720947","2,1666667461395264","2,8585057258605957","3,258817195892334","3,8960518836975098","3,3298943042755127"
2007,5,353,411003706902,"MEDICINA VETERINÁRIA","Faculdade Evangélica do Paraná",FEPAR,CURITIBA,41,PR,2,Privada,5,Privada,4,2,32,32,0,"47,84375",,"27,5625",,"32,6328125",,SC,SC,SC,,,12,7,3,"0,5833333134651184","0,25",,,"1,25","2,9166665077209473",,,,
2007,5,355,411003706902,"MEDICINA VETERINÁRIA","Universidade Tuiuti do Paraná",UTP,CURITIBA,41,PR,2,Privada,5,Privada,1,2,76,37,39,"38,91891860961914","46,128204345703125","24,200000762939453","43,93589782714844","27,879730224609375","44,48397445678711",2,2,2,"0,3529411852359772","0,4166666567325592",32,11,27,"0,34375","0,84375","2,0833332538604736","1,7647058963775635","4,21875","1,71875","2,362380027770996","1,337843418121338","1,9294534921646118","1,8226873874664307"
2007,5,374,351506150308,"MEDICINA VETERINÁRIA","Centro Universitário das Faculdades Metropolitanas Unidas",FMU,"SAO PAULO",35,SP,2,Privada,5,Privada,2,2,52,26,26,"46,32692337036133","50,096153259277344",27,"50,64999771118164","31,831729888916016","50,51153564453125",3,3,3,"0,47826087474823","0,6800000071525574",31,10,19,"0,32258063554763794","0,6129032373428345","3,4000000953674316","2,3913042545318604","3,064516305923462","1,6129032373428345","2,3512604236602783","2,2270212173461914","2,8121583461761475","2,4398341178894043"
2007,5,375,351506150308,"MEDICINA VETERINÁRIA","Universidade de Santo Amaro",UNISA,"SAO PAULO",35,SP,2,Privada,5,Privada,1,2,83,51,32,"44,13725662231445","53,25","24,68431282043457","45,943748474121094","29,547548294067383","47,77030944824219",2,2,2,"0,3571428656578064","0,7096773982048035",53,24,24,"0,4528301954269409","0,4528301954269409","3,548387050628662","1,7857142686843872","2,264151096343994","2,264150857925415","2,2660624980926514","1,681818962097168","1,6905616521835327","1,8597148656845093"
2007,5,387,500200402704,"MEDICINA VETERINÁRIA","Universidade Católica Dom Bosco",UCDB,"CAMPO GRANDE",50,MS,2,Privada,5,Privada,1,2,75,38,37,"42,44736862182617","45,60810852050781","27,100000381469727","43,881080627441406","30,93684196472168","44,312835693359375",2,1,2,"0,5757575631141663","0,7272727489471436",26,10,26,"0,38461539149284363",1,"3,6363637447357178","2,8787877559661865",5,"1,9230769872665405","3,0879721641540527","1,4486390352249146","0,8869113326072693","1,7719206809997559"
2007,5,404,530100100108,"MEDICINA VETERINÁRIA","Faculdades Integradas da Upis",UPIS,BRASILIA,53,DF,2,Privada,5,Privada,3,2,60,35,25,"42,85714340209961","47,220001220703125","28,937143325805664","55,02399826049805","32,417144775390625","53,072998046875",3,3,3,"0,7368420958518982","0,9523809552192688",32,7,30,"0,21875","0,9375","4,761904716491699","3,6842103004455566","4,6875","1,09375","3,023869752883911","2,6136646270751953","2,645050287246704","2,7461419105529785"
2007,5,420,350903829005,"MEDICINA VETERINÁRIA","Universidade de Marília",UNIMAR,MARILIA,35,SP,2,Privada,5,Privada,1,2,76,47,29,"36,98936080932617","44,034481048583984","23,317020416259766","50,36206817626953","26,735105514526367","48,78017044067383",2,4,3,"0,4615384638309479","0,5357142686843872",26,16,24,"0,6153846383094788","0,9230769276618958","2,6785714626312256","2,307692289352417","4,615384578704834","3,076923131942749","3,193448066711426","1,842736840248108","3,111205577850342","2,628490924835205"
